week_end_date,Region,case_7d_avg
2022-04-17,NA,34
2022-04-24,Auckland,1966
2022-04-24,Bay of Plenty,469
2022-04-24,Canterbury,1589
2022-04-24,Gisborne,79
2022-04-24,Hawke's Bay,277
2022-04-24,Manawatu-Whanganui,452
2022-04-24,Marlborough,25
2022-04-24,Nelson,222
2022-04-24,Northland,340
2022-04-24,Otago,901
2022-04-24,Southland,123
2022-04-24,Taranaki,253
2022-04-24,Tasman,34
2022-04-24,Waikato,616
2022-04-24,Wellington,875
2022-04-24,West Coast,99
2022-04-24,NA,20
2022-05-01,Auckland,2111
2022-05-01,Bay of Plenty,369
2022-05-01,Canterbury,1438
2022-05-01,Gisborne,89
2022-05-01,Hawke's Bay,219
2022-05-01,Manawatu-Whanganui,367
2022-05-01,Marlborough,21
2022-05-01,Nelson,232
2022-05-01,Northland,212
2022-05-01,Otago,790
2022-05-01,Southland,104
2022-05-01,Taranaki,201
2022-05-01,Tasman,32
2022-05-01,Waikato,487
2022-05-01,Wellington,787
2022-05-01,West Coast,88
2022-05-01,NA,20
2022-05-08,Auckland,2370
2022-05-08,Bay of Plenty,320
2022-05-08,Canterbury,1343
2022-05-08,Gisborne,61
2022-05-08,Hawke's Bay,225
2022-05-08,Manawatu-Whanganui,369
2022-05-08,Marlborough,19
2022-05-08,Nelson,213
2022-05-08,Northland,196
2022-05-08,Otago,672
2022-05-08,Southland,84
2022-05-08,Taranaki,200
2022-05-08,Tasman,32
2022-05-08,Waikato,473
2022-05-08,Wellington,842
2022-05-08,West Coast,66
2022-05-08,NA,20
2022-05-15,Auckland,2604
2022-05-15,Bay of Plenty,335
2022-05-15,Canterbury,1262
2022-05-15,Gisborne,67
2022-05-15,Hawke's Bay,233
2022-05-15,Manawatu-Whanganui,335
2022-05-15,Marlborough,26
2022-05-15,Nelson,213
2022-05-15,Northland,217
2022-05-15,Otago,644
2022-05-15,Southland,64
2022-05-15,Taranaki,207
2022-05-15,Tasman,23
2022-05-15,Waikato,582
2022-05-15,Wellington,815
2022-05-15,West Coast,69
2022-05-15,NA,18
2022-05-22,Auckland,2659
2022-05-22,Bay of Plenty,343
2022-05-22,Canterbury,1219
2022-05-22,Gisborne,60
2022-05-22,Hawke's Bay,255
2022-05-22,Manawatu-Whanganui,346
2022-05-22,Marlborough,55
2022-05-22,Nelson,166
2022-05-22,Northland,212
2022-05-22,Otago,472
2022-05-22,Southland,103
2022-05-22,Taranaki,224
2022-05-22,Tasman,31
2022-05-22,Waikato,617
2022-05-22,Wellington,807
2022-05-22,West Coast,73
2022-05-22,NA,61
2022-05-29,Auckland,2253
2022-05-29,Bay of Plenty,278
2022-05-29,Canterbury,1161
2022-05-29,Gisborne,39
2022-05-29,Hawke's Bay,182
2022-05-29,Manawatu-Whanganui,285
2022-05-29,Marlborough,54
