week_end_date,SampleLocation,case_7d_avg
2022-01-23,AU_SouthWestern,11
2022-01-23,AU_Western,6
2022-01-23,BP_Rotorua,14
2022-01-23,BP_Tauranga,0
2022-01-23,CA_Christchurch,4
2022-01-23,HB_Hastings,2
2022-01-23,MW_PalmerstonNorth,0
2022-01-23,NO_Kaitaia,0
2022-01-23,NO_Whangarei,0
2022-01-23,TS_Motueka,1
2022-01-23,WC_Hokitika,0
2022-01-23,WG_MoaPoint,0
2022-01-23,WG_Seaview,0
2022-01-23,WK_Cambridge,0
2022-01-23,WK_Hamilton,1
2022-01-30,AU_ArmyBay,0
2022-01-30,AU_Eastern,48
2022-01-30,AU_Pukekohe,1
2022-01-30,AU_Rosedale,7
2022-01-30,AU_SouthWestern,16
2022-01-30,AU_Western,5
2022-01-30,BP_Katikati,1
2022-01-30,BP_Rotorua,10
2022-01-30,BP_Tauranga,1
2022-01-30,BP_TeMaunga,1
2022-01-30,CA_Christchurch,8
2022-01-30,CA_Kaiapoi,0
2022-01-30,GI_Gisborne,1
2022-01-30,HB_Hastings,3
2022-01-30,MW_PalmerstonNorth,0
2022-01-30,NO_Kaitaia,0
2022-01-30,NO_Kerikeri,0
2022-01-30,NO_Whangarei,1
2022-01-30,TK_Eltham,0
2022-01-30,TK_Hawera,0
2022-01-30,TK_NewPlymouth,0
2022-01-30,TS_Motueka,1
2022-01-30,WG_MoaPoint,2
2022-01-30,WG_Paraparaumu,0
2022-01-30,WG_Porirua,0
2022-01-30,WG_Seaview,0
2022-01-30,WK_Cambridge,0
2022-01-30,WK_Hamilton,5
2022-01-30,WK_Paeroa,0
2022-01-30,WK_TeAwamutu,0
2022-01-30,WK_Tokoroa,0
2022-02-06,AU_ArmyBay,1
2022-02-06,AU_ClarksBeach,0
2022-02-06,AU_Eastern,82
2022-02-06,AU_Pukekohe,4
2022-02-06,AU_Rosedale,6
2022-02-06,AU_SnellsAlgies,0
2022-02-06,AU_SouthWestern,34
2022-02-06,AU_Western,18
2022-02-06,BP_Katikati,0
2022-02-06,BP_Kawerau,0
2022-02-06,BP_Rotorua,6
2022-02-06,BP_Tauranga,4
2022-02-06,BP_TeMaunga,2
2022-02-06,BP_TePuke,0
2022-02-06,BP_Whakatane,0
2022-02-06,CA_Christchurch,15
