region_id,DisplayName,variant,seen,detected
15,Queenstown,XBB,TRUE,TRUE
15,Queenstown,XBB.1.16,NA,FALSE
15,Queenstown,XBB.1.5,TRUE,TRUE
15,Queenstown,XBC,TRUE,TRUE
15,Dunedin (Tahuna),BA.2.75,NA,FALSE
15,Dunedin (Tahuna),BA.2.86,NA,FALSE
15,Dunedin (Tahuna),CH.1.1,NA,FALSE
15,Dunedin (Tahuna),EG.5,TRUE,TRUE
15,Dunedin (Tahuna),HK.3,TRUE,TRUE
15,Dunedin (Tahuna),Recombinant,TRUE,TRUE
15,Dunedin (Tahuna),XBB,TRUE,TRUE
15,Dunedin (Tahuna),XBB.1.16,TRUE,TRUE
15,Dunedin (Tahuna),XBB.1.5,TRUE,TRUE
15,Dunedin (Tahuna),XBC,TRUE,TRUE
16,Invercargill,BA.2.75,NA,FALSE
16,Invercargill,BA.2.86,NA,FALSE
16,Invercargill,CH.1.1,NA,FALSE
16,Invercargill,EG.5,TRUE,TRUE
16,Invercargill,HK.3,TRUE,TRUE
16,Invercargill,Recombinant,TRUE,TRUE
16,Invercargill,XBB,NA,FALSE
16,Invercargill,XBB.1.16,NA,FALSE
16,Invercargill,XBB.1.5,TRUE,TRUE
16,Invercargill,XBC,TRUE,TRUE
