week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2023-02-19,West Coast,504250,16000,3
2023-02-26,Auckland,1528173,1291660,8
2023-02-26,Bay of Plenty,2433647,204900,9
2023-02-26,Canterbury,3146342,492000,8
2023-02-26,Manawatu-Whanganui,2096421,167053,6
2023-02-26,Marlborough,9782950,36000,2
2023-02-26,Nelson,3343068,26000,1
2023-02-26,Northland,1193871,76230,4
2023-02-26,Otago,3008138,189300,7
2023-02-26,Southland,2765870,60000,3
2023-02-26,Taranaki,1577557,102006,3
2023-02-26,Waikato,1101781,225200,4
2023-02-26,Wellington,2292551,485579,11
2023-02-26,West Coast,356788,16000,3
2023-03-05,Auckland,2209365,980660,8
2023-03-05,Bay of Plenty,2671315,214920,8
2023-03-05,Canterbury,3948728,464000,7
2023-03-05,Hawke's Bay,1078739,84610,2
2023-03-05,Manawatu-Whanganui,2844279,167053,6
2023-03-05,Marlborough,4233865,36000,2
2023-03-05,Nelson,4337077,86000,2
2023-03-05,Northland,1867076,76230,4
2023-03-05,Otago,3727465,193400,8
2023-03-05,Southland,2115530,60000,3
2023-03-05,Taranaki,2443842,102006,3
2023-03-05,Waikato,999401,225200,4
2023-03-05,Wellington,2361504,485579,11
2023-03-05,West Coast,600126,16000,3
2023-03-12,Auckland,2848529,1274560,9
2023-03-12,Bay of Plenty,2785573,225920,10
2023-03-12,Canterbury,5394122,492000,8
2023-03-12,Hawke's Bay,4421131,84610,2
2023-03-12,Manawatu-Whanganui,2747662,167053,6
2023-03-12,Marlborough,4023966,36000,2
2023-03-12,Nelson,3557917,86000,2
2023-03-12,Northland,3203978,79030,7
2023-03-12,Otago,2661141,189300,7
2023-03-12,Southland,4874373,60000,3
2023-03-12,Taranaki,2052263,102006,3
2023-03-12,Waikato,920214,243300,7
2023-03-12,Wellington,3558266,485579,11
2023-03-12,West Coast,1198924,16000,3
2023-03-19,Auckland,1182341,1295660,9
2023-03-19,Bay of Plenty,2286521,193900,7
2023-03-19,Canterbury,3648579,492000,8
2023-03-19,Gisborne,1005639,37000,1
2023-03-19,Hawke's Bay,5949454,84610,2
2023-03-19,Manawatu-Whanganui,1926960,167053,6
2023-03-19,Nelson,2115315,86000,2
2023-03-19,Northland,413330,79030,7
2023-03-19,Otago,4447936,205400,9
2023-03-19,Southland,4481272,60000,3
2023-03-19,Taranaki,2251820,102006,3
2023-03-19,Waikato,708210,210100,5
2023-03-19,Wellington,2341309,485579,11
2023-03-19,West Coast,359695,16000,3
2023-03-26,Auckland,1917572,1436560,11
2023-03-26,Bay of Plenty,2356632,216820,8
2023-03-26,Canterbury,2202252,492000,8
2023-03-26,Gisborne,2717888,37000,1
2023-03-26,Hawke's Bay,3661673,84610,2
2023-03-26,Manawatu-Whanganui,1226990,167053,6
2023-03-26,Marlborough,8843509,36000,2
2023-03-26,Nelson,1096752,26000,1
2023-03-26,Northland,1815404,67800,4
2023-03-26,Otago,2735450,189300,7
2023-03-26,Southland,4160555,60000,3
2023-03-26,Taranaki,3421625,102006,3
2023-03-26,Waikato,1004930,243300,7
2023-03-26,Wellington,3008990,485579,11
2023-03-26,West Coast,1772673,16000,3
2023-04-02,Auckland,2902126,1415660,10
2023-04-02,Bay of Plenty,3066128,225920,10
2023-04-02,Canterbury,4887444,492000,8
2023-04-02,Gisborne,160799,37000,1
2023-04-02,Hawke's Bay,3731028,80000,1
2023-04-02,Manawatu-Whanganui,2316563,167053,6
2023-04-02,Marlborough,1516431,36000,2
2023-04-02,Nelson,6995265,86000,2
2023-04-02,Northland,18063974,9030,5
2023-04-02,Otago,1926801,193400,8
2023-04-02,Southland,3811770,60000,3
2023-04-02,Taranaki,3837731,102006,3
2023-04-02,Tasman,614527,8300,1
2023-04-02,Waikato,573175,230200,6
2023-04-02,Wellington,2580228,485579,11
2023-04-02,West Coast,518815,16000,3
