week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2021-10-03,Wellington,0,386000,3
2021-10-10,Auckland,247159,1449310,16
2021-10-10,Bay of Plenty,0,197900,8
2021-10-10,Canterbury,0,403000,2
2021-10-10,Gisborne,0,37000,1
2021-10-10,Hawke's Bay,0,139400,3
2021-10-10,Manawatu-Whanganui,229262,150500,3
2021-10-10,Nelson,0,26000,1
2021-10-10,Northland,0,93300,9
2021-10-10,Otago,0,165600,5
2021-10-10,Southland,0,50000,1
2021-10-10,Taranaki,0,88000,1
2021-10-10,Waikato,16351,283559,14
2021-10-10,Wellington,0,386000,3
2021-10-17,Auckland,389477,1449310,16
2021-10-17,Bay of Plenty,0,197900,8
2021-10-17,Canterbury,0,403000,2
2021-10-17,Gisborne,0,37000,1
2021-10-17,Hawke's Bay,0,139400,3
2021-10-17,Manawatu-Whanganui,0,134500,2
2021-10-17,Nelson,0,86000,2
2021-10-17,Northland,0,107450,19
2021-10-17,Otago,0,161500,4
2021-10-17,Southland,0,50000,1
2021-10-17,Taranaki,0,112500,5
2021-10-17,Waikato,46280,262508,9
2021-10-17,Wellington,0,386000,3
2021-10-24,Auckland,1184941,1449310,16
2021-10-24,Bay of Plenty,0,197900,8
2021-10-24,Canterbury,0,403000,2
2021-10-24,Gisborne,0,37000,1
2021-10-24,Hawke's Bay,0,139400,3
2021-10-24,Manawatu-Whanganui,0,134500,2
2021-10-24,Nelson,0,86000,2
2021-10-24,Northland,0,107550,19
2021-10-24,Otago,0,161500,4
2021-10-24,Southland,0,50000,1
2021-10-24,Taranaki,0,112500,5
2021-10-24,Waikato,158078,283493,13
2021-10-24,Wellington,0,386000,3
2021-10-31,Auckland,987604,1449310,16
2021-10-31,Bay of Plenty,20519,215120,8
2021-10-31,Canterbury,109914,460100,6
2021-10-31,Gisborne,0,37000,1
2021-10-31,Hawke's Bay,0,135000,2
2021-10-31,Manawatu-Whanganui,0,154500,4
2021-10-31,Marlborough,0,36000,2
2021-10-31,Nelson,0,26000,1
2021-10-31,Northland,6661,108050,20
2021-10-31,Otago,0,161500,4
2021-10-31,Southland,0,50000,1
2021-10-31,Taranaki,0,112500,5
2021-10-31,Waikato,332942,283493,13
2021-10-31,Wellington,0,435000,4
2021-11-07,Auckland,1031301,1449310,16
2021-11-07,Bay of Plenty,117251,218920,9
2021-11-07,Canterbury,77260,464300,8
2021-11-07,Gisborne,160799,37000,1
2021-11-07,Hawke's Bay,40273,146900,6
2021-11-07,Manawatu-Whanganui,0,175700,5
2021-11-07,Marlborough,0,36000,2
2021-11-07,Nelson,0,86000,2
2021-11-07,Northland,5672,108050,20
2021-11-07,Otago,0,165600,5
2021-11-07,Southland,0,50000,1
2021-11-07,Taranaki,52754,112500,5
2021-11-07,Waikato,184475,283493,13
2021-11-07,Wellington,0,435000,4
2021-11-14,Auckland,242911,1449310,16
2021-11-14,Bay of Plenty,77477,218920,9
2021-11-14,Canterbury,87258,411100,5
2021-11-14,Gisborne,0,37000,1
2021-11-14,Hawke's Bay,0,146900,6
2021-11-14,Manawatu-Whanganui,0,175700,5
2021-11-14,Marlborough,0,36000,2
2021-11-14,Nelson,0,26000,1
2021-11-14,Northland,32790,108050,20
2021-11-14,Otago,0,161500,4
2021-11-14,Southland,0,50000,1
2021-11-14,Taranaki,12840,114750,8
2021-11-14,Waikato,178093,283493,13
2021-11-14,Wellington,148804,455700,5
2021-11-14,West Coast,0,8900,3
2021-11-21,Auckland,1310379,1449310,16
2021-11-21,Bay of Plenty,500633,218920,9
2021-11-21,Canterbury,0,450200,8
2021-11-21,Gisborne,0,37000,1
2021-11-21,Hawke's Bay,0,146900,6
2021-11-21,Manawatu-Whanganui,41767,185849,8
2021-11-21,Marlborough,0,36000,2
2021-11-21,Nelson,0,26000,1
2021-11-21,Northland,18683,108050,20
2021-11-21,Otago,0,165600,5
2021-11-21,Southland,0,50000,1
2021-11-21,Taranaki,10246,114750,8
2021-11-21,Waikato,188842,286893,14
2021-11-21,Wellington,4467,485579,11
2021-11-21,West Coast,0,18900,4
2021-11-28,Auckland,1065374,1449310,16
2021-11-28,Bay of Plenty,259878,225920,10
2021-11-28,Canterbury,0,450200,8
2021-11-28,Gisborne,0,37000,1
2021-11-28,Hawke's Bay,0,147433,7
2021-11-28,Manawatu-Whanganui,13521,187479,9
2021-11-28,Marlborough,0,36000,2
2021-11-28,Nelson,0,26000,1
2021-11-28,Northland,13882,106320,19
2021-11-28,Otago,0,161500,4
2021-11-28,Southland,0,50000,1
2021-11-28,Taranaki,0,114750,8
2021-11-28,Tasman,0,8300,1
2021-11-28,Waikato,176321,294459,16
2021-11-28,Wellington,0,485579,11
2021-11-28,West Coast,0,18900,4
2021-12-05,Auckland,139007,330510,12
2021-12-05,Bay of Plenty,201701,225920,10
2021-12-05,Canterbury,108961,450200,8
2021-12-05,Gisborne,216261,37000,1
2021-12-05,Hawke's Bay,0,147433,7
2021-12-05,Manawatu-Whanganui,0,187479,9
2021-12-05,Marlborough,0,36000,2
2021-12-05,Nelson,63775,86000,2
2021-12-05,Northland,50894,108050,20
2021-12-05,Otago,0,165600,5
2021-12-05,Southland,0,50000,1
2021-12-05,Taranaki,130107,114750,8
2021-12-05,Tasman,0,8300,1
2021-12-05,Waikato,80182,286893,14
2021-12-05,Wellington,0,485579,11
2021-12-05,West Coast,0,18900,4
2021-12-12,Auckland,311798,1449310,16
2021-12-12,Bay of Plenty,706113,222120,9
2021-12-12,Canterbury,159360,450200,8
2021-12-12,Gisborne,342238,37000,1
2021-12-12,Hawke's Bay,0,147433,7
2021-12-12,Manawatu-Whanganui,35951,187479,9
2021-12-12,Marlborough,0,36000,2
2021-12-12,Nelson,95697,86000,2
2021-12-12,Northland,5893,108050,20
2021-12-12,Otago,0,165600,5
2021-12-12,Southland,0,50000,1
2021-12-12,Taranaki,65054,114750,8
2021-12-12,Tasman,0,8300,1
2021-12-12,Waikato,63183,294459,16
2021-12-12,Wellington,0,485579,11
2021-12-12,West Coast,0,18900,4
2021-12-19,Auckland,112286,1449310,16
2021-12-19,Bay of Plenty,2024239,222120,9
2021-12-19,Canterbury,106240,450200,8
2021-12-19,Gisborne,53600,37000,1
2021-12-19,Hawke's Bay,42440,139400,3
2021-12-19,Manawatu-Whanganui,2611,187479,9
2021-12-19,Marlborough,0,36000,2
2021-12-19,Nelson,21267,86000,2
2021-12-19,Northland,5216,108050,20
2021-12-19,Otago,0,161500,4
2021-12-19,Southland,0,50000,1
2021-12-19,Taranaki,173940,116756,9
2021-12-19,Tasman,0,8300,1
2021-12-19,Waikato,63215,286893,14
2021-12-19,Wellington,0,485579,11
2021-12-19,West Coast,0,18900,4
2021-12-26,Auckland,326356,1365220,8
2021-12-26,Bay of Plenty,1516341,222120,9
2021-12-26,Canterbury,75014,478200,9
2021-12-26,Gisborne,53600,37000,1
2021-12-26,Hawke's Bay,40127,147433,7
2021-12-26,Manawatu-Whanganui,0,187479,9
2021-12-26,Marlborough,0,36000,2
2021-12-26,Nelson,0,86000,2
2021-12-26,Northland,46313,106250,19
2021-12-26,Otago,0,161500,4
2021-12-26,Southland,0,50000,1
2021-12-26,Taranaki,6220,116756,9
2021-12-26,Tasman,0,8300,1
2021-12-26,Waikato,39409,271084,11
2021-12-26,Wellington,55566,485579,11
2021-12-26,West Coast,0,18900,4
2022-01-02,Auckland,171906,1431920,11
2022-01-02,Bay of Plenty,719117,107120,7
2022-01-02,Canterbury,160214,447800,7
2022-01-02,Gisborne,0,37000,1
2022-01-02,Hawke's Bay,80665,146683,7
2022-01-02,Manawatu-Whanganui,0,159700,4
2022-01-02,Marlborough,0,31000,1
2022-01-02,Nelson,0,26000,1
2022-01-02,Northland,85763,88800,8
2022-01-02,Otago,0,161500,4
2022-01-02,Southland,0,50000,1
2022-01-02,Taranaki,132709,112500,5
2022-01-02,Waikato,0,23000,1
2022-01-02,Wellington,75455,465779,9
2022-01-02,West Coast,0,10000,1
2022-01-09,Auckland,116826,287910,10
2022-01-09,Bay of Plenty,605409,222120,9
2022-01-09,Canterbury,75014,478200,9
